SEÇÃO,DIVISÃO,GRUPO,CLASSE,SUBCLASSE,DENOMINAÇÃO
A,,,,,"AGRICULTURA, PECUÁRIA, SILVICULTURA E EXPLORAÇÃO FLORESTAL"
,01,,,,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS COM  ESSAS ATIVIDADES"
,,,,,
,,01.1,,,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS
,,,,,
,,,01.11-2,,Cultivo de cereais para grãos
,,,01.12-0,,Cultivo de algodão herbáceo
,,,01.13-9,,Cultivo de cana-de açúcar
,,,01.14-7,,Cultivo de fumo
,,,01.15-5,,Cultivo de soja
,,,01.19-8,,Cultivo de outros produtos de lavoura temporária
,,,,,
,,,,,
,,01.2,,,HORTICULTURA E PRODUTOS DE VIVEIRO
,,,,,
,,,01.21-0,,"Cultivo de hortaliças, legumes e outros produtos da horticultura"
,,,01.22-8,,"Cultivo de flores, plantas ornamentais e produtos de viveiro"
,,,,,
,,01.3,,,PRODUÇÃO DE LAVOURAS PERMANENTES
,,,,,
,,,01.31-7,,Cultivo de frutas cítricas
,,,01.32-5,,Cultivo de café
,,,01.33-3,,Cultivo de cacau
,,,01.34-1,,Cultivo de uva
,,,01.39-2,,Cultivo de outros produtos de lavoura permanente
,,,,,
,,,,,
,,01.4,,,PECUÁRIA
,,,,,
,,,01.41-4,,Criação de bovinos
,,,01.42-2,,Criação de outros animais de grande porte
,,,01.43-0,,Criação de ovinos
,,,01.44-9,,Criação de suínos
,,,01.45-7,,Criação de aves
,,,01.46-5,,Criação de outros animais
,,,,,
,,,,,
,,01.5,,,PRODUÇÃO MISTA: LAVOURA E PECUÁRIA
,,,,,
,,,01.50-3,,Produção mista: lavoura e pecuária
,,,,,
,,01.6,,,"ATIVIDADE DE SERVIÇOS RELACIONADOS COM A AGRICULTURA E PECUÁRIA, EXCETO ATIVIDADES VETERINÁRIAS"
,,,,,
,,,01.61-9,,Atividades de serviços relacionados com a agricultura
,,,01.62-7,,"Atividades de serviços relacionados com a pecuária, exceto atividades veterinárias"
,,,,,
,,01.7,,,"CAÇA, REPOVOAMENTO CINEGÉTICO E ATIVIDADES DOS SERVIÇOS RELACIONADOS"
,,,,,
,,,01.70-8,,"Caça, repovoamento cinegético e atividades dos serviços relacionados"
,,,,,
,02,,,,"SILVICULTURA, EXPLORAÇÃO FLORESTAL E SERVIÇOS RELACIONADOS COM ESTAS ATIVIDADES"
,,,,,
,,02.1,,,"SILVICULTURA, EXPLORAÇÃO FLORESTAL E SERVIÇOS RELACIONADOS COM ESTAS ATIVIDADES"
,,,,,
,,,02.11-9,,Silvicultura
,,,02.12-7,,Exploração florestal
,,,02.13-5,,Atividades dos serviços relacionados com a silvicultura e a exploração florestal
,,,,,
B,,,,,PESCA
,,,,,
,05,,,,"PESCA, AQÜICULTURA E ATIVIDADES DOS SERVIÇOS RELACIONADOS COM ESTAS ATIVIDADES"
,,,,,
,,05.1,,,"PESCA, AQÜICULTURA E ATIVIDADES DOS SERVIÇOS RELACIONADOS COM ESTAS ATIVIDADES"
,,,,,
,,,05.11-8,,Pesca e serviços relacionados
,,,05.12-6,,Aqüicultura e serviços relacionados
,,,,,
C,,,,,INDÚSTRIAS EXTRATIVAS
,,,,,
,10,,,,EXTRAÇÃO DE CARVÃO MINERAL
,,,,,
,,10.0,,,EXTRAÇÃO DE CARVÃO MINERAL
,,,,,
,,,10.00-6,,Extração de carvão mineral
,,,,,
,11,,,,EXTRAÇÃO DE PETRÓLEO E SERVIÇOS CORRELATOS
,,,,,
,,11.1,,,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
,,,,,
,,,11.10-0,,Extração de petróleo e gás natura
,,,,,
,,11.2,,,SERVIÇOS RELACIONADOS COM A EXTRAÇÃO DE PETRÓLEO E GÁS - EXCETO A PROSPECÇÃO REALIZADA POR TERCEIROS
,,,,,
,,,11.20-7,,Serviços relacionados com a extração de petróleo e gás - exceto a prospecção realizada por terceiros
,,,,,
,13,,,,EXTRAÇÃO DE MINERAIS METÁLICOS
,,,,,
,,13.1,,,EXTRAÇÃO DE MINÉRIO DE FERRO
,,,,,
,,,13.10-2,,Extração de minério de ferro
,,,,,
,,13.2,,,EXTRAÇÃO DE MINERAIS METÁLICOS NÃO-FERROSOS
,,,,,
,,,13.21-8,,Extração de minério de alumínio
,,,13.22-6,,Extração de minério de estanho
,,,13.23-4,,Extração de minério de manganês
,,,13.24-2,,Extração de minério de metais preciosos
,,,13.25-0,,Extração de minerais radioativos
,,,13.29-3,,Extração de outros minerais metálicos não-ferrosos
,,,,,
,14,,,,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
,,,,,
,,14.1,,,"EXTRAÇÃO DE PEDRA, AREIA E ARGILA"
,,,,,
,,,14.10-9,,"Extração de pedra, areia e argila"
,,,,,
,,14.2,,,EXTRAÇÃO DE OUTROS MINERAIS NÃO-METÁLICOS
,,,,,
,,,14.21-4,,"Extração de minerais para fabricação de adubos, fertilizantes e produtos químicos"
,,,14.22-2,,Extração e refino de sal marinho e sal-gema
,,,14.29-0,,Extração de outros minerais não-metálicos
,,,,,
D,,,,,INDÚSTRIAS DE TRANSFORMAÇÃO
,,,,,
,15,,,,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS E BEBIDAS
,,,,,
,,15.1,,,ABATE E PREPARAÇÃO DE PRODUTOS DE CARNE E DE PESCADO
,,,,,
,,,15.11-3,,"Abate de reses, preparação de produtos de carne"
,,,15.12-1,,Abate de aves e outros pequenos animais e preparação de produtos de carne
,,,15.13-0,,"Preparação de carne, banha e produtos de salsicharia não associadas ao abate"
,,,15.14-8,,"Preparação e preservação do pescado e fabricação de conservas de peixes, crustáceos e moluscos"
,,,,,
,,15.2,,,"PROCESSAMENTO, PRESERVAÇÃO E PRODUÇÃO DE CONSERVAS DE FRUTAS, LEGUMES E OUTROS VEGETAIS"
,,,,,
,,,15.21-0,,"Processamento, preservação e produção de conservas de frutas"
,,,15.22-9,,"Processamento, preservação e produção de conservas de legumes e outros vegetais"
,,,15.23-7,,Produção de sucos de frutas e de legumes
,,,,,
,,15.3,,,PRODUÇÃO DE ÓLEOS E GORDURAS VEGETAIS E ANIMAIS
,,,,,
,,,15.31-8,,Produção de óleos vegetais em bruto
,,,15.32-6,,Refino de óleos vegetais
,,,15.33-4,,Preparação de margarina e outras gorduras vegetais e de óleos de origem animal não comestíveis
,,,,,
,,15.4,,,LATICÍNIOS
,,,,,
,,,15.41-5,,Preparação do leite
,,,15.42-3,,Fabricação de produtos do laticínio
,,,15.43-1,,Fabricação de sorvetes
,,,,,
,,15.5,,,"MOAGEM, FABRICAÇÃO DE PRODUTOS AMILÁCEOS E DE RAÇÕES BALANCEADAS PARA ANIMAIS"
,,,,,
,,,15.51-2,,Beneficiamento de arroz e fabricação de produtos do arroz
,,,15.52-0,,Moagem de trigo e fabricação de derivados
,,,15.53-9,,Fabricação de farinha de mandioca e derivados
,,,15.54-7,,Fabricação de fubá e farinha de milho
,,,15.55-5,,Fabricação de amidos e féculas   de vegetais e fabricação de óleos de milho
,,,15.56-3,,Fabricação de rações balanceadas para animais
,,,15.59-8,,"Beneficiamento, moagem  e preparação de outros produtos de origem vegetal"
,,,,,
,,15.6,,,FABRICAÇÃO E REFINO DE AÇÚCAR
,,,,,
,,,15.61-0,,Usinas de açúcar
,,,15.62-8,,Refino e moagem de açúcar
,,,,,
,,15.7,,,TORREFAÇÃO E MOAGEM DE CAFÉ
,,,,,
,,,15.71-7,,Torrefação e moagem de café
,,,15.72-5,,Fabricação de café solúvel
,,,,,
,,15.8,,,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS
,,,,,
,,,15.81-4,,"Fabricação de produtos de padaria, confeitaria e pastelaria"
,,,15.82-2,,Fabricação de biscoitos e bolachas
,,,15.83-0,,"Produção de derivados do cacau e elaboração de chocolates, balas, gomas de mascar"
,,,15.84-9,,Fabricação de massas alimentícias
,,,15.85-7,,"Preparação de especiarias, molhos, temperos e condimentos"
,,,15.86-5,,"Preparação de produtos  dietéticos, alimentos para crianças e outros alimentos conservados"
,,,15.89-0,,Fabricação de outros produtos alimentícios
,,,,,
,,15.9,,,FABRICAÇÃO DE BEBIDAS
,,,,,
,,,15.91-1,,"Fabricação, retificação, homogeneização e mistura de aguardentes e outras bebidas destiladas"
,,,15.92-0,,Fabricação de vinho
,,,15.93-8,,"Fabricação de malte, cervejas e chopes"
,,,15.94-6,,Engarrafamento e gaseificação de águas minerais
,,,15.95-4,,Fabricação de refrigerantes e refrescos
,,,,,
,16,,,,FABRICAÇÃO DE PRODUTOS DO FUMO
,,,,,
,,16.0,,,FABRICAÇÃO DE PRODUTOS DO FUMO 
,,,,,
,,,16.00-4,,Fabricação de produtos do fumo
,,,,,
,17,,,,FABRICAÇÃO DE PRODUTOS TÊXTEIS
,,,,,
,,17.1,,,BENEFICIAMENTO DE FIBRAS TÊXTEIS NATURAIS
,,,,,
,,,17.11-6,,Beneficiamento de algodão
,,,17.19-1,,Beneficiamento de outras fibras têxteis naturais
,,,,,
,,17.2,,,FIAÇÃO
,,,,,
,,,17.21-3,,Fiação de algodão
