COD_PAIS|NOM_PAIS|DT_INI|DT_FIM
132|AFEGANISTAO|1012009|
175|ALBANIA, REPUBLICA DA|1012009|
230|ALEMANHA|1012009|
310|BURKINA FASO|1012009|
370|ANDORRA|1012009|
400|ANGOLA|1012009|
418|ANGUILLA|1012009|
434|ANTIGUA E BARBUDA|1012009|
477|ANTILHAS HOLANDESAS|1012009|
531|ARABIA SAUDITA|1012009|
590|ARGELIA|1012009|
639|ARGENTINA|1012009|
647|ARMENIA, REPUBLICA DA|1012009|
655|ARUBA|1012009|
698|AUSTRALIA|1012009|
728|AUSTRIA|1012009|
736|AZERBAIJAO, REPUBLICA DO|1012009|
779|BAHAMAS, ILHAS|1012009|
809|BAHREIN, ILHAS|1012009|
817|BANGLADESH|1012009|
833|BARBADOS|1012009|
850|BELARUS, REPUBLICA DA|1012009|
876|BELGICA|1012009|
884|BELIZE|1012009|
906|BERMUDAS|1012009|
930|MIANMAR (BIRMANIA)|1012009|
973|BOLIVIA|1012009|
981|BOSNIA-HERZEGOVINA (REPUBLICA DA)|1012009|
1015|BOTSUANA|1012009|
1058|BRASIL|1012009|
1082|BRUNEI|1012009|
1112|BULGARIA, REPUBLICA DA|1012009|
1155|BURUNDI|1012009|
1198|BUTAO|1012009|
1279|CABO VERDE, REPUBLICA DE|1012009|
1376|CAYMAN, ILHAS|1012009|
1414|CAMBOJA|1012009|
1457|CAMAROES|1012009|
1490|CANADA|1012009|
1504|GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)|1012009|
1508|JERSEY, ILHA DO CANAL|1012009|
1511|CANARIAS, ILHAS|1012009|
1538|CAZAQUISTAO, REPUBLICA DO|1012009|
1546|CATAR|1012009|
1589|CHILE|1012009|
1600|CHINA, REPUBLICA POPULAR|1012009|
1619|FORMOSA (TAIWAN)|1012009|
1635|CHIPRE|1012009|
1651|COCOS(KEELING),ILHAS|1012009|
1694|COLOMBIA|1012009|
1732|COMORES, ILHAS|1012009|
1775|CONGO|1012009|
1830|COOK, ILHAS|1012009|
1872|COREIA, REP.POP.DEMOCRATICA|1012009|
1902|COREIA, REPUBLICA DA|1012009|
1937|COSTA DO MARFIM|1012009|
1953|CROACIA (REPUBLICA DA)|1012009|
1961|COSTA RICA|1012009|
1988|COVEITE|1012009|
1996|CUBA|1012009|
2291|BENIN|1012009|
2321|DINAMARCA|1012009|
2356|DOMINICA,ILHA|1012009|
2399|EQUADOR|1012009|
2402|EGITO|1012009|
2437|ERITREIA|1012009|
2445|EMIRADOS ARABES UNIDOS|1012009|
2453|ESPANHA|1012009|
2461|ESLOVENIA, REPUBLICA DA|1012009|
2470|ESLOVACA, REPUBLICA|1012009|
2496|ESTADOS UNIDOS|1012009|
2518|ESTONIA, REPUBLICA DA|1012009|
2534|ETIOPIA|1012009|
2550|FALKLAND (ILHAS MALVINAS)|1012009|
2593|FEROE, ILHAS|1012009|
2674|FILIPINAS|1012009|
2712|FINLANDIA|1012009|
2755|FRANCA|1012009|
2810|GABAO|1012009|
2852|GAMBIA|1012009|
2895|GANA|1012009|
2917|GEORGIA, REPUBLICA DA|1012009|
2933|GIBRALTAR|1012009|
2976|GRANADA|1012009|
3018|GRECIA|1012009|
3050|GROENLANDIA|1012009|
3093|GUADALUPE|1012009|
3131|GUAM|1012009|
3174|GUATEMALA|1012009|
3255|GUIANA FRANCESA|1012009|
3298|GUINE|1012009|
3310|GUINE-EQUATORIAL|1012009|
3344|GUINE-BISSAU|1012009|
3379|GUIANA|1012009|
3417|HAITI|1012009|
3450|HONDURAS|1012009|
3514|HONG KONG|1012009|
